"","X","StudyID","Obs.ID","DOI","DispersingAgent","DispersingAgent.SodiumHex","DispersingAgent.OtherSolution","DispersingAgent.GlassBeads","DispersingAgent.Sonication","DispersingAgent.Combo","FractionationMethod","FractionationMethod.Size","FractionationMethod.Density","FractionationMethod.SizeAndDensity","Continent","Continent.Africa","Continent.Asia","Continent.Australia","Continent.Europe","Continent.NorthAmerica","Continent.SouthAmerica","country","ResponseCalc","ResponseCalc.Direct","ResponseCalc.Indirect","rv.type","summed","rv","mean.control.in.g.kg.1","mean.treatment.in.g.kg.1","sd.control.in.g.kg..1","sd.treatment.in.g.kg.1","sd.imputed.in.g.kg.1","control.BD..Mg.m.3.","treat.BD..Mg.m.3.","mean.control.in.Mg.ha.1","mean.treatment.in.Mg.ha.1","sd.control.in.Mg.ha.1","sd.treatment.in.Mg.ha.1","sd.imputed.in.Mg.ha.1","depth.upper.limit..cm.","depth.lower.limit..cm.","depth.type","depth.surface","depth.subsoil","depth.deepsoil","soilorder","soilorder.Alfisols","soilorder.Inceptisols","soilorder.Mollisols","soilorder.Oxisols","soilorder.Spodosols","soilorder.Ultisols","Baseline.depth..cm.","Baseline...sand","Baseline...silt","Baseline...clay","Baseline.TOC..","Baseline.pH","pH.method","SoilCollectionSeason","SoilCollectionSeason.spring","SoilCollectionSeason.summer","SoilCollectionSeason.fall","SoilCollectionSeason.winter","location.name","lat.decimal","long.decimal","maincrop","maincrop.cereal","maincrop.legume","maincrop.cereallegume","maincrop.otherrowcrop","maincrop.perennial","number.of.crop.species.in.control","cover.crop.added","ccadded.grass","ccadded.legume","ccadded.grasslegume","ccadded.brassica","ccadded.grassbrassica","ccadded.legumebrassica","ccadded.grasslegumebrassica","total.C.inputs.cover.crops..Mg.ha.1.yr.1.","bg.C.inputs.cover.crops..Mg.ha.1.yr.1.","ag.C.inputs.cover.crops..Mg.ha.1.yr.1.","ag.C.inputs.fallow..Mg.ha.1.yr.1.","ccseason","ccseason.spring","ccseason.summer","ccseason.fall","ccseason.winter","ccseason.yearround","number.crop.species.added","duration..yr.","reps","tillage","tillage.conventional","tillage.reducednotill","N.fertilization.rate..kg.ha.1.yr.1.","N.type","residue.removal....","logRR.type","logRR","percent.change","var","Further.notes","Further.notes.2","Temp","Prec","comp"
"1026",1341,"Hass",621,"10.1002/ldr.2345","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Asia",0,1,0,0,0,0,"Pakistan","direct",1,0,"pom fraction",0,"POC",0.03153579286,0.4698832857,0.00344624553,0.05134905536,1,1.4,1.4,0.08830022,1.3156732,NA,NA,NA,40,60,"deep soil",0,0,1,"Alfisols",1,0,0,0,0,0,NA,38.1,32.2,29.6,0.52,7.7,NA,"winter",0,0,0,1,"Pir Mehr Ali Shah-Arid Agriculture University",33.6333333,73.08333333,"wheat",1,0,0,0,0,1,"sorghum",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,2,3,"conventional",1,0,NA,"organic",NA,"gkg",2.701,1390,0.0079615,"tine cultivator","",21.6,923,"cc vs. fallow"
"1025",1340,"Hass",620,"10.1002/ldr.2345","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Asia",0,1,0,0,0,0,"Pakistan","direct",1,0,"pom fraction",0,"POC",0.03153579286,0.2112898214,0.00344624553,0.02308984607,1,1.4,1.4,0.08830022,0.5916115,NA,NA,NA,40,60,"deep soil",0,0,1,"Alfisols",1,0,0,0,0,0,NA,38.1,32.2,29.6,0.52,7.7,NA,"winter",0,0,0,1,"Pir Mehr Ali Shah-Arid Agriculture University",33.6333333,73.08333333,"wheat",1,0,0,0,0,1,"mungbean",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,2,3,"conventional",1,0,NA,"organic",NA,"gkg",1.902,570,0.0079615,"tine cultivator","",21.6,923,"cc vs. fallow"
"1028",1343,"Hass",623,"10.1002/ldr.2345","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Asia",0,1,0,0,0,0,"Pakistan","direct",1,0,"pom fraction",0,"POC",0.1193683714,0.5463888929,0.01304462895,0.05970962228,1,1.4,1.4,0.33423144,1.5298889,NA,NA,NA,40,60,"deep soil",0,0,1,"Alfisols",1,0,0,0,0,0,NA,38.1,32.2,29.6,0.52,7.7,NA,"winter",0,0,0,1,"Pir Mehr Ali Shah-Arid Agriculture University",33.6333333,73.08333333,"wheat",1,0,0,0,0,1,"sorghum",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,2,3,"conventional",1,0,NA,"organic",NA,"gkg",1.521,358,0.0079615,"moldboard plough","",21.6,923,"cc vs. fallow"
"69",86,"Cres",300,"10.1016/j.catena.2021.105145","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"pom fraction",0,"POC",NA,NA,NA,NA,NA,NA,NA,0.26,1.17,0.08660254038,1.454922678,NA,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,"0-20",65.03,21.8,13.17,NA,6,"water","fall",0,0,1,0,"General Villegas (site 4)",-34.8741667,-62.75888889,"soybean",0,1,0,0,0,1,"rye",1,0,0,0,0,0,0,3.88,NA,NA,NA,"winter",0,0,0,1,0,1,10,3,"no-till",0,1,46,"organic",NA,"mgha",1.504,350,0.5524326,"","",16.2,745,"cc vs. fallow"
"1030",1345,"Hass",625,"10.1002/ldr.2345","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Asia",0,1,0,0,0,0,"Pakistan","direct",1,0,"pom fraction",0,"POC",0.2196095893,0.06654835714,0.02399903402,0.007272434196,1,1.4,1.4,0.61490685,0.1863354,NA,NA,NA,40,60,"deep soil",0,0,1,"Alfisols",1,0,0,0,0,0,NA,38.1,32.2,29.6,0.52,7.7,NA,"winter",0,0,0,1,"Pir Mehr Ali Shah-Arid Agriculture University",33.6333333,73.08333333,"wheat",1,0,0,0,0,1,"sorghum",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,2,3,"no-till",0,1,NA,"organic",NA,"gkg",-1.194,-70,0.0079615,"","",21.6,923,"cc vs. fallow"
"1024",1339,"Hass",619,"10.1002/ldr.2345","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Asia",0,1,0,0,0,0,"Pakistan","direct",1,0,"pom fraction",0,"POC",0.07415648571,0.26965775,0.008103853885,0.02946831938,1,1.4,1.4,0.20763816,0.7550417,NA,NA,NA,40,60,"deep soil",0,0,1,"Alfisols",1,0,0,0,0,0,NA,38.1,32.2,29.6,0.52,7.7,NA,"summer",0,1,0,0,"Pir Mehr Ali Shah-Arid Agriculture University",33.6333333,73.08333333,"wheat",1,0,0,0,0,1,"sorghum",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,1,3,"no-till",0,1,NA,"organic",NA,"gkg",1.291,264,0.0079615,"","",21.6,923,"cc vs. fallow"
"7",9,"Baye01",66,"10.2136/sssaj2001.6551473x","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"pom fraction",0,"POC",3.098591549,10.9352518,0.3386154686,1.195009201,1,1.42,1.39,1.1,3.8,NA,NA,NA,0,2.5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Experimental Station of the Feteral University of Rio Grande do Sul",-30.8477778,-51.63555556,"corn",1,0,0,0,0,1,"cajanus",0,1,0,0,0,0,0,NA,NA,5.8,0.47,"year-round",0,0,0,0,1,1,12,3,"no-till",0,1,NA,NA,NA,"gkg",1.261,253,0.0079615,"","",18.9,1372,"cc vs. fallow"
"91",110,"Nasc",847,"10.1016/j.still.2013.02.008","other solution",0,1,0,0,0,"density",0,1,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"pom fraction",0,"POC",5.07,1.77,0.5540518648,0.1934263907,1,NA,NA,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,NA,0,0,0,0,0,0,"0-20",NA,NA,NA,1.04,6.25,"water","fall",0,0,1,0,"Santo Antonio de Goias",-16.45,-49.28333333,"rice",1,0,0,0,0,1,"millet",1,0,0,0,0,0,0,NA,NA,NA,NA,"year-round",0,0,0,0,1,1,2,3,"no-till",0,1,55,"organic",NA,"gkg",-1.052,-65,0.0079615,"","",22.8,1442,"cc vs. fallow"
"948",1253,"Hass",594,"10.1002/ldr.2345","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Asia",0,1,0,0,0,0,"Pakistan","direct",1,0,"pom fraction",0,"POC",0.6922562381,0.2538315714,0.07565007093,0.02773882751,1,1.4,1.4,1.4537381,0.5330463,NA,NA,NA,15,30,"subsoil",0,1,0,"Alfisols",1,0,0,0,0,0,NA,38.1,32.2,29.6,0.52,7.7,NA,"summer",0,1,0,0,"Pir Mehr Ali Shah-Arid Agriculture University",33.6333333,73.08333333,"wheat",1,0,0,0,0,1,"mungbean",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,1,3,"no-till",0,1,NA,"organic",NA,"gkg",-1.003,-63,0.0079615,"","",21.6,923,"cc vs. fallow"
"351",483,"Hass",584,"10.1002/ldr.2345","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Asia",0,1,0,0,0,0,"Pakistan","direct",1,0,"pom fraction",0,"POC",0.824135381,0.302743619,0.09006188257,0.03308395793,1,1.4,1.4,1.7306843,0.6357616,NA,NA,NA,0,15,NA,0,0,0,"Alfisols",1,0,0,0,0,0,NA,38.1,32.2,29.6,0.52,7.7,NA,"winter",0,0,0,1,"Pir Mehr Ali Shah-Arid Agriculture University",33.6333333,73.08333333,"wheat",1,0,0,0,0,1,"mungbean",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,2,3,"conventional",1,0,NA,"organic",NA,"gkg",-1.001,-63,0.0079615,"tine cultivator","",21.6,923,"cc vs. fallow"
"724",971,"Muku",814,"10.1080/00380768.2016.1206833","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Africa",1,0,0,0,0,0,"South Africa","direct",1,0,"pom fraction",0,"POM",6.4,19,0.6993948589,2.076328487,1,1.63,1.63,NA,NA,NA,NA,NA,5,20,NA,0,0,0,"Inceptisols",0,1,0,0,0,0,NA,64.2,16,19.8,0.84,6.2,NA,"spring",1,0,0,0,"University of Fort Hare Research Farm",-32.7975,27.84861111,"corn",1,0,0,0,0,1,"oats",1,0,0,0,0,0,0,NA,NA,2.52,1.29,"winter",0,0,0,1,0,1,3,3,"no-till",0,1,60,"inorganic",NA,"gkg",1.088,197,0.0079615,"","",17.9,778,"cc vs. fallow"
"1012",1327,"Hass",609,"10.1002/ldr.2345","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Asia",0,1,0,0,0,0,"Pakistan","direct",1,0,"pom fraction",0,"POC",0.6517397143,0.2606959048,0.07122240711,0.02848896493,1,1.4,1.4,1.3686534,0.5474614,NA,NA,NA,30,45,"deep soil",0,0,1,"Alfisols",1,0,0,0,0,0,NA,38.1,32.2,29.6,0.52,7.7,NA,"winter",0,0,0,1,"Pir Mehr Ali Shah-Arid Agriculture University",33.6333333,73.08333333,"wheat",1,0,0,0,0,1,"sorghum",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,2,3,"conventional",1,0,NA,"organic",NA,"gkg",-0.916,-60,0.0079615,"tine cultivator","",21.6,923,"cc vs. fallow"
"353",485,"Hass",586,"10.1002/ldr.2345","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Asia",0,1,0,0,0,0,"Pakistan","direct",1,0,"pom fraction",0,"POC",1.520013905,0.6320541429,0.1661077985,0.06907115907,1,1.4,1.4,3.1920292,1.3273137,NA,NA,NA,0,15,NA,0,0,0,"Alfisols",1,0,0,0,0,0,NA,38.1,32.2,29.6,0.52,7.7,NA,"winter",0,0,0,1,"Pir Mehr Ali Shah-Arid Agriculture University",33.6333333,73.08333333,"wheat",1,0,0,0,0,1,"mungbean",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,2,3,"conventional",1,0,NA,"organic",NA,"gkg",-0.877,-58,0.0079615,"moldboard plough","",21.6,923,"cc vs. fallow"
"154",202,"Cast",221,"10.2136/vzj2014.07.0093","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"total organic matter",0,"SOC",14.74,6.23,1.610793784,0.6808171829,1,NA,NA,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,"Alfisols",1,0,0,0,0,0,"0-20",46.9,9.1,44,NA,4.2,"CaCl2","spring",1,0,0,0,"Botucatu",-22.8,-48.41666667,"soybean, corn, rice",0,0,1,0,0,3,"pearl millet, pigeon pea, sunn hemp, lupine bean",0,0,1,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,4,5,8,"no-till",0,1,NA,NA,NA,"gkg",-0.861,-58,0.0029856,"","",20.6,1283,"cc vs. fallow"
"1023",1338,"Hass",618,"10.1002/ldr.2345","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Asia",0,1,0,0,0,0,"Pakistan","direct",1,0,"pom fraction",0,"POC",0.07415648571,0.2052346929,0.008103853885,0.02242813891,1,1.4,1.4,0.20763816,0.57465714,NA,NA,NA,40,60,"deep soil",0,0,1,"Alfisols",1,0,0,0,0,0,NA,38.1,32.2,29.6,0.52,7.7,NA,"summer",0,1,0,0,"Pir Mehr Ali Shah-Arid Agriculture University",33.6333333,73.08333333,"wheat",1,0,0,0,0,1,"mungbean",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,1,3,"no-till",0,1,NA,"organic",NA,"gkg",1.018,177,0.0079615,"","",21.6,923,"cc vs. fallow"
"56",73,"Amad",2,"10.2134/jeq2005.0233","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"pom fraction",0,"POC",NA,NA,NA,NA,NA,NA,NA,1.09,2.97,0.1345352131,0.366577599,1,0,5,"surface",1,0,0,"Alfisols",1,0,0,0,0,0,"A horizon",66,25.3,8.7,NA,4.5,"water",NA,0,0,0,0,"Santa Maria",-29.75,-53.7,"corn",1,0,0,0,0,1,"velvet beans",0,1,0,0,0,0,0,NA,NA,4.51,NA,"winter",0,0,0,1,0,1,10,2,"no-till",0,1,120,"organic",NA,"mgha",1.002,172,0.0152342,"","",19.4,1654,"cc vs. fallow"
"564",779,"Baye01",70,"10.2136/sssaj2001.6551473x","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"pom fraction",0,"POC",1.126760563,3.021582734,0.1231328977,0.3301999109,1,1.42,1.39,0.8,2.1,NA,NA,NA,2.5,7.5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Experimental Station of the Feteral University of Rio Grande do Sul",-30.8477778,-51.63555556,"corn",1,0,0,0,0,1,"cajanus",0,1,0,0,0,0,0,NA,NA,5.8,0.47,"year-round",0,0,0,0,1,1,12,3,"no-till",0,1,NA,NA,NA,"gkg",0.986,168,0.0079615,"","",18.9,1372,"cc vs. fallow"
"110",129,"Muku",809,"10.1080/00380768.2016.1206833","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Africa",1,0,0,0,0,0,"South Africa","direct",1,0,"pom fraction",0,"POM",8.6,22.3,0.9398118416,2.436953961,1,1.63,1.63,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,"Inceptisols",0,1,0,0,0,0,NA,64.2,16,19.8,0.84,6.2,NA,"spring",1,0,0,0,"University of Fort Hare Research Farm",-32.7975,27.84861111,"corn",1,0,0,0,0,1,"oats",1,0,0,0,0,0,0,NA,NA,2.52,1.29,"winter",0,0,0,1,0,1,3,3,"no-till",0,1,60,"inorganic",NA,"gkg",0.953,159,0.0079615,"","",17.9,778,"cc vs. fallow"
"549",762,"Baye09",110,"10.1080/00103620902820365","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"pom fraction",0,"POC",0.5555555556,1.438356164,0.06071135928,0.1571842042,NA,1.44,1.46,NA,NA,NA,NA,NA,2.5,5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,"0-20",66,25.3,8.7,NA,NA,NA,"spring",1,0,0,0,"Santa Maria, Rio Grande do Sul",-29.75,-53.7,"corn",1,0,0,0,0,1,"mucuna",0,1,0,0,0,0,0,NA,NA,2,0.72,"summer",0,1,0,0,0,1,8,2,"no-till",0,1,NA,NA,NA,"gkg",0.951,159,0.0119422,"","",19.4,1654,"cc vs. fallow"
"775",1044,"Baye09",119,"10.1080/00103620902820365","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"pom fraction",0,"POC",0.275862069,0.1242236025,0.03014633012,0.01357521077,NA,1.45,1.61,NA,NA,NA,NA,NA,10,15,"subsoil",0,1,0,"Ultisols",0,0,0,0,0,1,"0-20",66,25.3,8.7,NA,NA,NA,"spring",1,0,0,0,"Santa Maria, Rio Grande do Sul",-29.75,-53.7,"corn",1,0,0,0,0,1,"mucuna",0,1,0,0,0,0,0,NA,NA,2,0.72,"summer",0,1,0,0,0,1,8,2,"no-till",0,1,NA,NA,NA,"gkg",-0.798,-55,0.0119422,"","",19.4,1654,"cc vs. fallow"
"416",602,"Baye01",68,"10.2136/sssaj2001.6551473x","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"pom fraction",0,"POC",1.167002012,2.95991778,0.1275305012,0.3234611372,1,1.42,1.39,2.9,7.2,NA,NA,NA,0,17.5,NA,0,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Experimental Station of the Feteral University of Rio Grande do Sul",-30.8477778,-51.63555556,"corn",1,0,0,0,0,1,"cajanus",0,1,0,0,0,0,0,NA,NA,5.8,0.47,"year-round",0,0,0,0,1,1,12,3,"no-till",0,1,NA,NA,NA,"gkg",0.931,154,0.0079615,"","",18.9,1372,"cc vs. fallow"
"698",937,"Obry",944,"10.2136/sssaj2017.12.0415","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"pom fraction",0,"POC",2,5,0.2185608934,0.5464022335,1,1.1,1.2,NA,NA,NA,NA,NA,5,15,NA,0,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"fall",0,0,1,0,"Boone County",42.017584,-93.76448,"corn",1,0,0,0,0,1,"rye",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,4,4,"no-till",0,1,NA,NA,35,"gkg",0.916,150,0.0059711,"","",8.8,842,"cc vs. fallow"
"60",77,"Belt21",186,"10.1002/saj2.20257","other solution",0,1,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"pom fraction",1,"POC",NA,NA,NA,NA,NA,NA,NA,1.63,4.043,0.1005928428,0.2495072782,1,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,54.5,26.9,18.6,NA,5.6,"water","spring",1,0,0,0,"Villegas coarse textured soil",-34.9,-62.06666667,"soybean",0,1,0,0,0,1,"rye",1,0,0,0,0,0,0,NA,NA,2.01,NA,"winter",0,0,0,1,0,1,8,3,"no-till",0,1,NA,NA,NA,"mgha",0.908,148,0.002539,"","",15.7,833,"cc vs. fallow"
"1014",1329,"Hass",611,"10.1002/ldr.2345","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Asia",0,1,0,0,0,0,"Pakistan","direct",1,0,"pom fraction",0,"POC",0.2625513095,0.6455444286,0.02869172439,0.07054538352,1,1.4,1.4,0.55135775,1.3556433,NA,NA,NA,30,45,"deep soil",0,0,1,"Alfisols",1,0,0,0,0,0,NA,38.1,32.2,29.6,0.52,7.7,NA,"winter",0,0,0,1,"Pir Mehr Ali Shah-Arid Agriculture University",33.6333333,73.08333333,"wheat",1,0,0,0,0,1,"sorghum",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,2,3,"conventional",1,0,NA,"organic",NA,"gkg",0.9,146,0.0079615,"moldboard plough","",21.6,923,"cc vs. fallow"
